Front,Back,Plus
und,and,"{""plus"", ""and also"", ""and""}"
die,the,"{""those"", ""that"", ""the"", ""who"", ""whom"", ""which"", ""these"", ""this one"", ""that one""}"
sie,she,"{""her"", ""she"", ""them"", ""they""}"
der,of the,"{""that"", ""the"", ""who"", ""whom"", ""which"", ""this one"", ""that one""}"
er,he,"{""he""}"
ich,I,"{""I""}"
das,the,"{""that"", ""this"", ""the"", ""who"", ""whom"", ""which""}"
zu,to,"{""for"", ""to"", ""of"", ""too"", ""overly""}"
in,in,"{""trendy"", ""very fashionable"", ""at"", ""in"", ""to"", ""inside"", ""into"", ""within"", ""to the inside""}"
sich,yourself,"{""you"", ""yourselves"", ""yourself"", ""itself"", ""himself"", ""herself"", ""oneself"", ""themselves""}"
den,the,"{""who"", ""whom"", ""that"", ""which""}"
nicht,Not,"{""not""}"
war,was,"Missing[""NotAvailable""]"
es,it,"{""it""}"
auf,on,"{""by"", ""to"", ""up"", ""out of bed"", ""on"", ""upon""}"
mit,With,"{""with"", ""along"", ""of"", ""containing"", ""by"", ""per"", ""for each"", ""on top"", ""topped with""}"
ein,on,"{""one"", ""a certain"", ""some"", ""a"", ""an""}"
hatte,would have,"Missing[""NotAvailable""]"
von,from,"{""out of"", ""of"", ""from"", ""coming from"", ""originating from"", ""by""}"
dass,that,"Missing[""NotAvailable""]"
an,on,"{""to""}"
dem,the,"{""who"", ""whom"", ""that"", ""which""}"
eine,a,"{""one"", ""a certain"", ""some"", ""a"", ""an""}"
wie,how,"{""like"", ""for example"", ""such as"", ""how"", ""in the same way as"", ""as"", ""eh"", ""just like"", ""just as""}"
ist,is,"Missing[""NotAvailable""]"
als,as,"{""when"", ""once"", ""than"", ""as"", ""in the same way as""}"
du,you,"{""you""}"
aber,but,"{""but"", ""though"", ""nevertheless"", ""yet"", ""still"", ""however"", ""except that"", ""only""}"
was,What,"{""what"", ""that which"", ""pardon"", ""excuse me"", ""eh""}"
so,so,"{""thus"", ""so"", ""in such a way"", ""in such a manner"", ""in order that"", ""that"", ""this"", ""consequently"", ""hence"", ""as a result"", ""to such an extent"", ""to such a degree"", ""sic""}"
ihr,her,"{""her"", ""their"", ""you""}"
aus,out,"{""of"", ""out of"", ""because of"", ""from""}"
noch,yet,"{""nor"", ""still"", ""yet"", ""even"", ""else"", ""more""}"
einen,one,"Missing[""NotAvailable""]"
um,around,"{""around"", ""at"", ""surrounding""}"
wir,we,"{""we""}"
im,in the,"Missing[""NotAvailable""]"
ihn,him,"{""him""}"
mir,me,"{""me""}"
für,For,"{""for"", ""to"", ""of"", ""in return for"", ""per"", ""for each"", ""pro"", ""in favor of""}"
ihm,him,"{""him""}"
auch,also,"{""also"", ""too"", ""as well"", ""in addition""}"
wenn,if,"{""when"", ""considering that"", ""once"", ""if"", ""in case""}"
nach,after,"{""to"", ""after"", ""according to"", ""in accordance with"", ""under"", ""beyond"", ""later than"", ""past""}"
sein,his,"{""his"", ""its"", ""be"", ""exist"", ""be located""}"
dann,then,"{""then"", ""in that case"", ""well"", ""and then"", ""at that time""}"
mich,me,"{""me"", ""myself""}"
hat,Has,"Missing[""NotAvailable""]"
nur,just,"{""pure"", ""mere"", ""simple"", ""simply"", ""only"", ""just"", ""merely"", ""but"", ""entirely"", ""except that"", ""exclusively"", ""solely""}"
einem,one,"Missing[""NotAvailable""]"
des,of,"Missing[""NotAvailable""]"
vor,in front,"{""ago"", ""since"", ""before"", ""in front of"", ""earlier than"", ""by"", ""prior to"", ""to"", ""of"", ""till"", ""until""}"
sagte,said,"Missing[""NotAvailable""]"
seine,his,"{""his"", ""its""}"
über,about,"{""across"", ""over"", ""above"", ""beyond"", ""past"", ""about"", ""by"", ""via"", ""by way of"", ""to spare"", ""left over"", ""later than"", ""concerning"", ""connected with"", ""in regard to"", ""regarding"", ""as regards""}"
ihre,your,"{""her"", ""their"", ""theirs"", ""hers""}"
doch,but,"{""anyway"", ""anyhow"", ""in any case"", ""nevertheless"", ""nonetheless"", ""in spite of this"", ""in spite of that"", ""though"", ""but"", ""yet"", ""still"", ""however"", ""except that"", ""only""}"
einer,one,"{""either"", ""one or the other"", ""either two"", ""anyone"", ""anybody"", ""one""}"
haben,to have,"{""have""}"
wieder,again,"{""again"", ""once more"", ""anew"", ""afresh"", ""once again""}"
waren,were,"Missing[""NotAvailable""]"
man,you,"{""one"", ""they"", ""you""}"
oder,or,"{""or""}"
da,there,"{""because"", ""since"", ""for"", ""for the reason that"", ""by reason of"", ""as"", ""thereabouts"", ""thereabout""}"
schon,beautiful,"{""already""}"
ja,Yes,"{""aye"", ""yea"", ""yes""}"
konnte,could,"Missing[""NotAvailable""]"
habe,have,"Missing[""NotAvailable""]"
bei,at,"{""at"", ""in"", ""with"", ""by"", ""near"", ""next to""}"
würde,would,"Missing[""NotAvailable""]"
mehr,more,"{""more"", ""additional"", ""supplementary"", ""extra"", ""further"", ""more specific"", ""more detailed""}"
zum,to the,"Missing[""NotAvailable""]"
immer,always,"{""always"", ""forever"", ""all the time"", ""at all times"", ""ever"", ""incessantly""}"
am,at the,"Missing[""NotAvailable""]"
hier,here,"{""here"", ""this"", ""this place""}"
jetzt,now,"{""now""}"
etwas,something,"{""any"", ""anything"", ""barely"", ""hardly"", ""only just"", ""some"", ""something"", ""somewhat""}"
sind,are,"Missing[""NotAvailable""]"
uns,us,"{""us"", ""ourselves""}"
sah,saw,"Missing[""NotAvailable""]"
keine,no,"{""do not"", ""no"", ""none"", ""not any""}"
ihnen,them,"{""them""}"
nichts,Nothing,"{""nothing"", ""not a thing"", ""zilch"", ""zip""}"
dich,you,"{""you"", ""yourself""}"
mal,times,"{""times"", ""multiplied by""}"
augen,eyes,"Missing[""NotAvailable""]"
durch,by,"{""by means of"", ""by"", ""through"", ""thanks to"", ""because of"", ""of"", ""throughout"", ""all through"", ""till the end of""}"
alles,everything,"{""everything"", ""all things"", ""each thing"", ""anything"", ""no matter what"", ""the most important""}"
meine,my,"{""my"", ""mine""}"
wurde,has been,"Missing[""NotAvailable""]"
kann,can,"Missing[""NotAvailable""]"
hätte,would have,"Missing[""NotAvailable""]"
dir,to you,"{""you""}"
seinen,his,"Missing[""NotAvailable""]"
bis,to,"{""up to"", ""to"", ""until"", ""till"", ""up to the time of"", ""before""}"
wollte,wanted to,"Missing[""NotAvailable""]"
ihren,their,"Missing[""NotAvailable""]"
mann,man,"Missing[""NotAvailable""]"
hatten,had,"Missing[""NotAvailable""]"
diese,this,"{""these"", ""this"", ""this one""}"
werden,become,"{""become"", ""get"", ""will"", ""'ll"", ""shall"", ""grow into"", ""turn into""}"
seiner,its,"{""his""}"
zur,to,"Missing[""NotAvailable""]"
denn,because,"{""for"", ""because"", ""since"", ""for the reason that"", ""by reason of"", ""as""}"
kopf,head,"Missing[""NotAvailable""]"
hand,hand,"Missing[""NotAvailable""]"
vielleicht,perhaps,"{""perhaps"", ""maybe"", ""possibly""}"
ganz,all,"{""whole"", ""entire"", ""thorough"", ""total"", ""complete"", ""arrant"", ""thoroughgoing"", ""out-and-out"", ""all-out"", ""all"", ""the whole of"", ""integral"", ""entirely"", ""quite"", ""altogether"", ""wholly"", ""completely"", ""thoroughly"", ""totally"", ""fully"", ""throughout"", ""all th"
fragte,asked,"Missing[""NotAvailable""]"
bin,am,"Missing[""NotAvailable""]"
gut,Well,"{""good"", ""neat"", ""nifty"", ""retentive"", ""well-behaved"", ""obedient"", ""fine"", ""beautiful"", ""nice"", ""friendly"", ""kind"", ""amiable"", ""in store"", ""owing to someone"", ""outstanding"", ""nicely"", ""well"", ""all right"", ""alright"", ""thoroughly"", ""much"", ""quite""}"
wird,becomes,"Missing[""NotAvailable""]"
alle,all,"{""every"", ""all"", ""everyone""}"
seinem,his,"Missing[""NotAvailable""]"
können,can,"{""can"", ""will"", ""may""}"
anderen,other,"Missing[""NotAvailable""]"
hast,have,"Missing[""NotAvailable""]"
unter,under,"{""lower"", ""under"", ""nether"", ""underneath"", ""below"", ""beneath"", ""less than""}"
wo,Where,"{""where""}"
dieser,this,"{""this"", ""this one""}"
zeit,Time,"Missing[""NotAvailable""]"
frau,woman,"Missing[""NotAvailable""]"
ihrer,of their,"{""hers""}"
weil,because,"{""because"", ""since"", ""for"", ""for the reason that"", ""by reason of"", ""as""}"
sehr,very,"{""very"", ""most"", ""uncommonly"", ""very much"", ""badly"", ""seriously"", ""greatly"", ""gravely"", ""sorely"", ""deeply"", ""profoundly"", ""immensely"", ""extremely""}"
während,while,"{""while"", ""whereas"", ""during""}"
ging,went,"Missing[""NotAvailable""]"
einmal,once,"{""once"", ""one time"", ""one day"", ""someday"", ""ever""}"
also,so,"{""consequently"", ""hence"", ""thus"", ""as a result"", ""therefore"", ""so""}"
mein,my,"{""my""}"
gewesen,been,"Missing[""NotAvailable""]"
damit,in order to,"{""so that"", ""in order that"", ""so"", ""thereby"", ""by that means""}"
selbst,self,"{""even"", ""herself"", ""himself"", ""itself"", ""myself"", ""oneself"", ""ourselves"", ""still"", ""themselves"", ""yourself"", ""yourselves""}"
zwei,two,"{""two""}"
weiß,White,"{""white"", ""pale""}"
nein,No,"{""no""}"
gab,gave,"Missing[""NotAvailable""]"
kam,came,"Missing[""NotAvailable""]"
wäre,would,"Missing[""NotAvailable""]"
ihrem,their,"Missing[""NotAvailable""]"
zurück,back,"{""back"", ""rearwards"", ""rearward""}"
ohne,without,"{""destitute of"", ""devoid of"", ""lacking in"", ""without"", ""out of"", ""void of"", ""devoid"", ""lacking""}"
ins,in the,"Missing[""NotAvailable""]"
eines,one,"Missing[""NotAvailable""]"
gesicht,face,"Missing[""NotAvailable""]"
stand,was standing,"Missing[""NotAvailable""]"
viel,much,"{""much"", ""a lot of"", ""far"", ""well"", ""quite""}"
blick,view,"Missing[""NotAvailable""]"
ab,from,"Missing[""NotAvailable""]"
ließ,was,"Missing[""NotAvailable""]"
nie,never,"{""never""}"
ob,if,"{""if"", ""whether""}"
warum,Why,"{""why"", ""what is"", ""for what reason""}"
sehen,see,"{""look"", ""see"", ""imagine"", ""watch"", ""view""}"
musste,had to,"Missing[""NotAvailable""]"
daß,that,"Missing[""NotAvailable""]"
leben,Life,"{""live"", ""reside"", ""dwell"", ""be alive""}"
sagen,say,"{""say"", ""tell""}"
nun,now,"{""well""}"
dachte,thought,"Missing[""NotAvailable""]"
kein,no,"{""no""}"
vom,from,"Missing[""NotAvailable""]"
einfach,simple,"{""single"", ""unpretentious"", ""one-way"", ""simple"", ""plain"", ""not complicated"", ""straightforward"", ""sober"", ""unsophisticated"", ""pure"", ""mere"", ""easy"", ""not difficult"", ""elementary"", ""austere"", ""austerely"", ""just"", ""simply"", ""downright"", ""easily"", ""without di"
weg,path,"{""aside"", ""apart"", ""in reserve"", ""away""}"
paar,pair,"Missing[""NotAvailable""]"
tun,do,"{""do"", ""make"", ""act""}"
tür,door,"Missing[""NotAvailable""]"
dort,there,"{""there"", ""at that place"", ""over there""}"
wissen,knowledge,"{""know""}"
sollte,should,"Missing[""NotAvailable""]"
hinter,Behind,"{""behind""}"
muss,got to,"Missing[""NotAvailable""]"
diesem,this,"Missing[""NotAvailable""]"
wusste,knew,"Missing[""NotAvailable""]"
gerade,just,"{""straight"", ""even"", ""forthright"", ""just""}"
gesagt,told,"Missing[""NotAvailable""]"
stimme,voice,"Missing[""NotAvailable""]"
machen,do,"{""make"", ""render"", ""turn in"", ""make up"", ""do"", ""take"", ""fix"", ""repair"", ""mend""}"
lassen,to let,"{""leave"", ""leave over"", ""allow"", ""permit"", ""let"", ""grant permission to"", ""suppose""}"
will,want,"Missing[""NotAvailable""]"
andere,other,"{""other"", ""others""}"
gar,at all,"{""done""}"
hielt,held,"Missing[""NotAvailable""]"
bist,are,"Missing[""NotAvailable""]"
wirklich,for real,"{""real"", ""actual"", ""true"", ""really"", ""actually"", ""simply"", ""truly""}"
erst,first,"{""primary"", ""prime"", ""principal"", ""main"", ""chief"", ""first"", ""only"", ""just"", ""merely"", ""but"", ""simply""}"
nahm,took,"Missing[""NotAvailable""]"
weiter,further,"{""farther"", ""further"", ""more specific"", ""more detailed""}"
genau,exactly,"{""very"", ""exact"", ""strict"", ""precise"", ""careful"", ""conscientious"", ""meticulous"", ""punctilious"", ""accurate"", ""thorough"", ""strictly"", ""nicely"", ""exactly"", ""accurately"", ""precisely"", ""right"", ""plumb"", ""in detail"", ""just""}"
müssen,have to,"{""must"", ""ought to"", ""should"", ""need"", ""need to"", ""have to""}"
haus,House,"Missing[""NotAvailable""]"
dabei,there,"Missing[""NotAvailable""]"
zog,drew,"Missing[""NotAvailable""]"
gegen,against,"{""against"", ""alien to"", ""toward"", ""opposed to"", ""at"", ""around"", ""contra"", ""versus"", ""anti""}"
mutter,mother,"Missing[""NotAvailable""]"
lange,Long,"{""for a long time""}"
machte,made,"Missing[""NotAvailable""]"
darauf,thereon,"{""thereupon"", ""after"", ""afterwards"", ""afterward"", ""later"", ""subsequently"", ""next"", ""on it"", ""on"", ""over it""}"
beiden,both,"Missing[""NotAvailable""]"
menschen,People,"Missing[""NotAvailable""]"
davon,from that,"{""thereof"", ""belonging to"", ""of that""}"
dieses,this,"{""this""}"
zwischen,between,"{""between"", ""among""}"
gehen,walk,"{""go"", ""leave"", ""move on"", ""get along"", ""get going"", ""walk"", ""function"", ""work"", ""operate""}"
wer,who,"{""who""}"
gibt,gives,"Missing[""NotAvailable""]"
sei,be,"Missing[""NotAvailable""]"
heute,today,"{""today"", ""nowadays"", ""at present"", ""presently""}"
könnte,could,"Missing[""NotAvailable""]"
sicher,for sure,"{""safe"", ""secure"", ""certain"", ""convinced"", ""satisfied"", ""confident"", ""sure"", ""positive"", ""indisputable"", ""without risk"", ""assured"", ""self-assured"", ""self-confident"", ""sure of oneself"", ""bound"", ""for sure"", ""for certain"", ""with certainty"", ""rightly"", ""cert"
drei,three,"{""three""}"
tag,Day,"Missing[""NotAvailable""]"
zusammen,together,"{""together"", ""amongst one another"", ""with each other""}"
worden,been,"Missing[""NotAvailable""]"
fast,nearly,"{""almost"", ""nearly"", ""all but"", ""not quite""}"
vater,father,"Missing[""NotAvailable""]"
meinen,mean,"{""mean"", ""drive at"", ""reckon"", ""think"", ""suppose"", ""figure""}"
gesehen,seen,"Missing[""NotAvailable""]"
diesen,this,"Missing[""NotAvailable""]"
geht,going,"Missing[""NotAvailable""]"
keinen,no,"Missing[""NotAvailable""]"
hin,down,"Missing[""NotAvailable""]"
seit,since,"{""from ... onward"", ""from ... on"", ""from ... onwards"", ""from ... forwards"", ""since"", ""for"", ""ever since""}"
seite,page,"Missing[""NotAvailable""]"
kommen,come,"{""come""}"
dafür,for this,"{""pro"", ""in favor""}"
sogar,even,"{""even"", ""still""}"
neben,Next,"{""next to"", ""alongside of"", ""closest to"", ""near"", ""beside"", ""compared with"", ""by contrast with"", ""against"", ""besides"", ""apart from"", ""in addition to"", ""as well as"", ""alongside"", ""at the side of"", ""other than"", ""aside from""}"
soll,should,"Missing[""NotAvailable""]"
moment,moment,"Missing[""NotAvailable""]"
lag,was,"Missing[""NotAvailable""]"
daran,it,"Missing[""NotAvailable""]"
mädchen,girl,"Missing[""NotAvailable""]"
ersten,first,"Missing[""NotAvailable""]"
ganze,whole,"Missing[""NotAvailable""]"
legte,put,"Missing[""NotAvailable""]"
boden,ground,"Missing[""NotAvailable""]"
schließlich,in the end,"{""finally"", ""at last"", ""in the end"", ""ultimately"", ""after all"", ""lastly"", ""eventually""}"
wohl,well,"{""well""}"
sondern,rather,"{""but""}"
natürlich,Naturally,"{""natural"", ""inbred"", ""unaffected"", ""unstudied"", ""naturally""}"
werde,will,"Missing[""NotAvailable""]"
euch,you,"{""you"", ""yourselves""}"
schien,appeared,"Missing[""NotAvailable""]"
dazu,to,"Missing[""NotAvailable""]"
meiner,mine,"{""mine""}"
plötzlich,suddenly,"{""overnight"", ""sudden"", ""flash"", ""abrupt"", ""suddenly"", ""all of a sudden"", ""all at once"", ""short""}"
bevor,before,"{""before"", ""earlier than"", ""prior to"", ""previous to"", ""until"", ""till""}"
ende,The End,"Missing[""NotAvailable""]"
männer,Men,"Missing[""NotAvailable""]"
welt,world,"Missing[""NotAvailable""]"
jemand,someone,"{""anyone"", ""anybody"", ""somebody"", ""someone""}"
hörte,heard,"Missing[""NotAvailable""]"
hab,hab,"Missing[""NotAvailable""]"
später,later,"{""after"", ""afterwards"", ""afterward"", ""later"", ""subsequently"", ""next"", ""in time"", ""in due time"", ""later on"", ""some day"", ""hereafter"", ""after this""}"
nacht,night,"Missing[""NotAvailable""]"
hände,hands,"Missing[""NotAvailable""]"
kaum,barely,"{""barely"", ""hardly"", ""only just"", ""with difficulty"", ""scarcely"", ""not very""}"
kleinen,small,"Missing[""NotAvailable""]"
wenig,little,"{""few"", ""not many"", ""little"", ""not much"", ""not very""}"
gleich,equal,"{""equal"", ""like"", ""similar"", ""of the same quality"", ""the same"", ""alike"", ""similarly"", ""immediately"", ""instantly"", ""instantaneously"", ""soon"", ""shortly"", ""right away"", ""at once"", ""directly"", ""straightaway"", ""forthwith""}"
würden,would,"Missing[""NotAvailable""]"
wollen,want,"{""woollen"", ""want"", ""desire"", ""like to"", ""be willing to"", ""wish""}"
luft,air,"Missing[""NotAvailable""]"
recht,Law,"{""plain"", ""right""}"
beim,at the,"{""in the act of""}"
stehen,stand,"{""appear"", ""be listed"", ""figure"", ""stand"", ""be upright""}"
weit,far,"{""wide"", ""extensive"", ""commodious"", ""spacious"", ""roomy"", ""loose"", ""far-off"", ""distant"", ""faraway"", ""far off"", ""far"", ""afar"", ""way""}"
wurden,were,"Missing[""NotAvailable""]"
besser,better,"{""better""}"
fuhr,drove,"Missing[""NotAvailable""]"
eigentlich,actually,"{""virtual""}"
bitte,You're welcome,"{""kindly"", ""please"", ""you're welcome""}"
leute,People,"Missing[""NotAvailable""]"
angst,anxiety,"Missing[""NotAvailable""]"
blieb,remained,"Missing[""NotAvailable""]"
gemacht,made,"Missing[""NotAvailable""]"
kurz,short,"{""brief"", ""short"", ""little"", ""concise"", ""compact"", ""summarized"", ""condensed"", ""curt"", ""terse"", ""briefly"", ""shortly"", ""in short"", ""without wasting words"", ""in a few words"", ""for a little while"", ""for a moment"", ""for a bit""}"
bereits,already,"{""already""}"
kleine,small,"Missing[""NotAvailable""]"
setzte,sat,"Missing[""NotAvailable""]"
sofort,right away,"{""immediately"", ""instantly"", ""at once"", ""immediate"", ""instant"", ""promptly"", ""right away"", ""directly"", ""straightaway"", ""forthwith"", ""straight away""}"
sagt,says,"Missing[""NotAvailable""]"
nickte,nodded,"Missing[""NotAvailable""]"
viele,lots,"{""many"", ""a lot of"", ""many people"", ""many a person"", ""a lot of people""}"
macht,power,"Missing[""NotAvailable""]"
mund,mouth,"Missing[""NotAvailable""]"
allein,alone,"{""by oneself"", ""alone"", ""separate"", ""entirely"", ""only""}"
klar,clear,"{""outright"", ""out-and-out"", ""absolute"", ""downright"", ""definite"", ""clear-cut"", ""precise"", ""well-defined"", ""explicit"", ""clear"", ""clean-cut"", ""lucid"", ""clearly outlined"", ""bright"", ""perspicuous"", ""distinct"", ""sharply defined"", ""axiomatic"", ""self-evident"", ""a"
deine,yours,"{""your"", ""yours""}"
versuchte,tried,"Missing[""NotAvailable""]"
morgen,tomorrow,"{""tomorrow""}"
fest,firmly,"{""regular"", ""steady"", ""established"", ""permanent"", ""fixed"", ""firm"", ""stable"", ""solid"", ""tight"", ""determined"", ""resolute"", ""decisive"", ""stout"", ""fast"", ""tightly"", ""firmly"", ""faithfully"", ""solidly""}"
schnell,fast,"{""fast"", ""quick"", ""rapid"", ""nippy"", ""speedy"", ""ready"", ""prompt"", ""expeditious"", ""in a great hurry"", ""in a rush"", ""in a hurry"", ""quickly"", ""hastily"", ""hurriedly"", ""posthaste"", ""swiftly"", ""apace"", ""sharply"", ""suddenly"", ""soon""}"
denen,to those,"{""who"", ""whom"", ""that""}"
darüber,about that,"{""over it""}"
meinem,my,"Missing[""NotAvailable""]"
los,Come on,"Missing[""NotAvailable""]"
stellte,presented,"Missing[""NotAvailable""]"
frage,question,"Missing[""NotAvailable""]"
obwohl,even though,"{""while"", ""though"", ""although"", ""even though"", ""despite"", ""notwithstanding"", ""in spite of"", ""regardless of"", ""albeit""}"
genug,enough,"{""enough"", ""sufficient"", ""adequately"", ""sufficiently""}"
niemand,nobody,"{""nobody""}"
lang,long,"{""long""}"
bett,bed,"Missing[""NotAvailable""]"
kommt,coming,"Missing[""NotAvailable""]"
glaube,faith,"Missing[""NotAvailable""]"
augenblick,moment,"Missing[""NotAvailable""]"
hob,lifted,"Missing[""NotAvailable""]"
jahren,years,"Missing[""NotAvailable""]"
überhaupt,at all,"Missing[""NotAvailable""]"
junge,Boy,"Missing[""NotAvailable""]"
gott,God,"Missing[""NotAvailable""]"
großen,great,"Missing[""NotAvailable""]"
wasser,water,"Missing[""NotAvailable""]"
körper,body,"Missing[""NotAvailable""]"
jahre,years,"Missing[""NotAvailable""]"
lächelte,smiled,"Missing[""NotAvailable""]"
gehört,belongs,"Missing[""NotAvailable""]"
jeder,everyone,"{""every"", ""each"", ""all"", ""any"", ""each one"", ""everybody"", ""everyone"", ""every person"", ""anyone"", ""anybody"", ""no matter which""}"
